path,line_count
"ia_carmine\__init__.py",4
"ia_carmine\__main__.py",5
"ia_carmine\_shared\__init__.py",1
"ia_carmine\_shared\agent_agnostic_tool_inventory_cli.py",74
"ia_carmine\_shared\agent_memory_inventory_cli.py",118
"ia_carmine\_shared\agent_runtime_tool_broker_execution.py",62
"ia_carmine\_shared\artifact_domain_registry.py",228
"ia_carmine\_shared\code_edit_proposal_helpers.py",201
"ia_carmine\_shared\code_patch_plan_common.py",189
"ia_carmine\_shared\dry_run_matrix_evidence_markdown.py",41
"ia_carmine\_shared\ensure_ai_context_templates.py",195
"ia_carmine\_shared\evidence_item_planning.py",107
"ia_carmine\_shared\external_heap_block_pointer_manifest_cli.py",89
"ia_carmine\_shared\fixtures\agent_review_code_patch_plan_fixture.json",39
"ia_carmine\_shared\fixtures\code_contract_drift_fixture.json",75
"ia_carmine\_shared\fixtures\code_edit_proposal_fixture.json",35
"ia_carmine\_shared\fixtures\patch_spec_review_draft.json",48
"ia_carmine\_shared\fixtures\patch_spec_review_replacement_plan.json",42
"ia_carmine\_shared\fixtures\patch_spec_review_target.md",3
"ia_carmine\_shared\full_context_golden_proposals_cli.py",80
"ia_carmine\_shared\github_evidence_bundle_artifacts.py",313
"ia_carmine\_shared\github_evidence_bundle_decisions.py",127
"ia_carmine\_shared\github_evidence_bundle_io.py",139
"ia_carmine\_shared\github_evidence_bundle_markdown.py",210
"ia_carmine\_shared\github_evidence_bundle_reports.py",350
"ia_carmine\_shared\gpu_planner_json_contract.py",320
"ia_carmine\_shared\gpu_planner_json_contract_report.py",28
"ia_carmine\_shared\gpu_runtime_sampling.py",152
"ia_carmine\_shared\heap_code_execution_tool_core.py",308
"ia_carmine\_shared\heap_exchange_runtime_entry_cli.py",202
"ia_carmine\_shared\heap_final_code_product.py",278
"ia_carmine\_shared\heap_final_readable_synthesis.py",398
"ia_carmine\_shared\heap_proposal_gate.py",241
"ia_carmine\_shared\heap_source_anchors.py",333
"ia_carmine\_shared\live_flow_lanes.py",142
"ia_carmine\_shared\live_flow_monitor.py",181
"ia_carmine\_shared\live_flow_status.py",311
"ia_carmine\_shared\model_json.py",106
"ia_carmine\_shared\npu_micro_task_companion_cli.py",360
"ia_carmine\_shared\npu_micro_task_markdown.py",53
"ia_carmine\_shared\ollama_gpu_residency.py",173
"ia_carmine\_shared\ollama_provider_selection.py",243
"ia_carmine\_shared\openvino_model_discovery.py",134
"ia_carmine\_shared\process_tree.py",33
"ia_carmine\_shared\provider_ollama_probe.py",400
"ia_carmine\_shared\provider_ollama_report.py",128
"ia_carmine\_shared\provider_probe_paths.py",9
"ia_carmine\_shared\provider_replight.py",250
"ia_carmine\_shared\provider_replight_markdown.py",57
"ia_carmine\_shared\provider_runtime_broker_bridge_cli.py",60
"ia_carmine\_shared\provider_tool_loop.py",377
"ia_carmine\_shared\provider_tool_schemas.py",41
"ia_carmine\_shared\provider_work_verification.py",324
"ia_carmine\_shared\report_io.py",23
"ia_carmine\_shared\report_markdown.py",14
"ia_carmine\_shared\revision_context_prompt.py",73
"ia_carmine\_shared\runtime_tool_guidance.py",138
"ia_carmine\_shared\TOOL_CONTEXT.md",31
"ia_carmine\_shared\universo_utils.py",59
"ia_carmine\_shared\workload_quality.py",202
"ia_carmine\build_agent_memory_inventory.py",378
"ia_carmine\chunks\__init__.py",1
"ia_carmine\chunks\code_chunks\__init__.py",1
"ia_carmine\chunks\evidence_chunks\__init__.py",1
"ia_carmine\chunks\proposal_chunks\__init__.py",1
"ia_carmine\cli.py",6
"ia_carmine\context\__init__.py",1
"ia_carmine\context\agent_context\__init__.py",1
"ia_carmine\context\agent_context\agnostic_tool_inventory\__init__.py",3
"ia_carmine\context\agent_context\agnostic_tool_inventory\cli.py",321
"ia_carmine\context\agent_context\ai_context_pack\__init__.py",5
